Suburb,State,Postcode
SOUTH GUNDURIMBA,NSW,2480
SOUTH GUYRA,NSW,2365
SOUTH HURSTVILLE,NSW,2221
SOUTH KEMPSEY,NSW,2440
SOUTH LISMORE,NSW,2480
SOUTH LITTLETON,NSW,2790
SOUTH MAITLAND,NSW,2320
SOUTH MAROOTA,NSW,2756
SOUTH MURWILLUMBAH,NSW,2484
SOUTH NOWRA,NSW,2541
SOUTH PAMBULA,NSW,2549
SOUTH PENRITH,NSW,2750
SOUTH TAMWORTH,NSW,2340
SOUTH TURRAMURRA,NSW,2074
SOUTH WENTWORTHVILLE,NSW,2145
SOUTH WEST ROCKS,NSW,2431
SOUTH WINDSOR,NSW,2756
SOUTH WOLUMLA,NSW,2550
SOUTHAMPTON,NSW,2460
SOUTHGATE,NSW,2460
SPEERS POINT,NSW,2284
SPEEWA,NSW,2735
SPENCER,NSW,2775
SPICERS CREEK,NSW,2820
SPICKETTS CREEK,NSW,2454
SPLITTERS CREEK,NSW,2640
SPRING CREEK,NSW,2800
SPRING FARM,NSW,2570
SPRING FLAT,NSW,2850
SPRING GROVE,NSW,2470
SPRING HILL,NSW,2800
SPRING HILL,NSW,2500
SPRING MOUNTAIN,NSW,2360
SPRING PLAINS,NSW,2388
SPRING RIDGE,NSW,2343
SPRING TERRACE,NSW,2798
SPRINGDALE,NSW,2666
SPRINGDALE HEIGHTS,NSW,2641
SPRINGFIELD,NSW,2630
SPRINGFIELD,NSW,2250
SPRINGRANGE,NSW,2618
SPRINGSIDE,NSW,2800
SPRINGVALE,NSW,2790
SPRINGVALE,NSW,2650
SPRINGWOOD,NSW,2777
ST ALBANS,NSW,2775
ST ANDREWS,NSW,2566
ST CLAIR,NSW,2759
ST CLAIR,NSW,2330
ST FILLANS,NSW,2850
ST GEORGE,NSW,2622
ST GEORGES BASIN,NSW,2540
ST HELENS PARK,NSW,2560
ST HUBERTS ISLAND,NSW,2257
ST IVES,NSW,2075
ST IVES CHASE,NSW,2075
ST JOHNS PARK,NSW,2176
ST LEONARDS,NSW,2065
ST MARYS,NSW,2760
ST PETERS,NSW,2044
STANBOROUGH,NSW,2360
STANBRIDGE,NSW,2705
STANFORD MERTHYR,NSW,2327
STANHOPE,NSW,2335
STANHOPE GARDENS,NSW,2768
STANMORE,NSW,2048
STANNIFER,NSW,2369
STANNUM,NSW,2371
STANWELL PARK,NSW,2508
STANWELL TOPS,NSW,2508
STATE MINE GULLY,NSW,2790
STEAM PLAINS,NSW,2710
STEEPLE FLAT,NSW,2631
STEWARTS BROOK,NSW,2337
STEWARTS RIVER,NSW,2443
STOCKINBINGAL,NSW,2725
STOCKRINGTON,NSW,2322
STOCKTON,NSW,2295
STOCKYARD CREEK,NSW,2460
STOKERS SIDING,NSW,2484
STONEHENGE,NSW,2370
STONEQUARRY,NSW,2580
STONY CHUTE,NSW,2480
STONY CREEK,NSW,2550
STONY CREEK,NSW,2850
STONY CROSSING,NSW,2734
STOTTS CREEK,NSW,2487
STRATFORD,NSW,2422
STRATHCEDAR,NSW,2429
STRATHEDEN,NSW,2470
STRATHFIELD,NSW,2135
STRATHFIELD SOUTH,NSW,2136
STROUD,NSW,2425
STROUD HILL,NSW,2420
STROUD ROAD,NSW,2415
STUART TOWN,NSW,2820
STUARTS POINT,NSW,2441
STUBBO,NSW,2852
STUD PARK,NSW,2710
SUFFOLK PARK,NSW,2481
SUGARLOAF,NSW,2420
SUMMER HILL,NSW,2130
SUMMER HILL,NSW,2421
SUMMER HILL CREEK,NSW,2800
SUMMER ISLAND,NSW,2440
SUMMERLAND POINT,NSW,2259
SUN VALLEY,NSW,2777
SUNNY CORNER,NSW,2795
SUNSET STRIP,NSW,2879
SUNSHINE,NSW,2264
SUNSHINE BAY,NSW,2536
SUNTOP,NSW,2820
SURF BEACH,NSW,2536
SURFSIDE,NSW,2536
SURRY HILLS,NSW,2010
SUSSEX INLET,NSW,2540
SUTHERLAND,NSW,2232
SUTTON,NSW,2620
SUTTON FOREST,NSW,2577
SWAN BAY,NSW,2471
SWAN BAY,NSW,2324
SWAN CREEK,NSW,2462
SWAN VALE,NSW,2370
SWANBROOK,NSW,2360
SWANHAVEN,NSW,2540
SWANS CROSSING,NSW,2439
SWANSEA,NSW,2281
SWANSEA HEADS,NSW,2281
SWEETMANS CREEK,NSW,2325
SYDENHAM,NSW,2044
SYDNEY,NSW,2000
SYDNEY OLYMPIC PARK,NSW,2127
SYLVANIA,NSW,2224
SYLVANIA WATERS,NSW,2224
TABBIL CREEK,NSW,2420
TABBIMOBLE,NSW,2472
TABBITA,NSW,2652
TABLE TOP,NSW,2640
TABULAM,NSW,2469
TACOMA,NSW,2259
TACOMA SOUTH,NSW,2259
TAHLEE,NSW,2324
TAHMOOR,NSW,2573
TALARM,NSW,2447
TALAWANTA,NSW,2839
TALBINGO,NSW,2720
TALLAWANG,NSW,2852
TALLIMBA,NSW,2669
TALLONG,NSW,2579
TALLOWAL,NSW,2540
TALLOWWOOD RIDGE,NSW,2453
TALLWOOD,NSW,2798
TALLWOODS VILLAGE,NSW,2430
TALMALMO,NSW,2640
TALOFA,NSW,2481
TALOUMBI,NSW,2463
TAMARAMA,NSW,2026
TAMBAN,NSW,2441
TAMBAR SPRINGS,NSW,2381
TAMBAROORA,NSW,2850
TAMINDA,NSW,2340
TAMWORTH,NSW,2340
TANGLEWOOD,NSW,2488
TANILBA BAY,NSW,2319
TANJA,NSW,2550
TANNABAR,NSW,2357
TANNAS MOUNT,NSW,2795
TANTANGARA,NSW,2629
TANTAWANGALO,NSW,2550
TANTONAN,NSW,2731
TAPITALLEE,NSW,2540
TARA,NSW,2665
TARADALE,NSW,2653
TARAGO,NSW,2580
TARALGA,NSW,2580
TARANA,NSW,2787
TARBAN,NSW,2372
TARBUCK BAY,NSW,2428
TARCUTTA,NSW,2652
TAREE,NSW,2430
TAREE SOUTH,NSW,2430
TAREN POINT,NSW,2229
TARLO,NSW,2580
TARRAGANDA,NSW,2550
TARRAWANNA,NSW,2518
TARRIARO,NSW,2390
TARRO,NSW,2322
TASCOTT,NSW,2250
TATHAM,NSW,2471
TATHRA,NSW,2550
TATTON,NSW,2650
TAYLORS ARM,NSW,2447
TAYLORS BEACH,NSW,2316
TAYLORS FLAT,NSW,2586
TEA GARDENS,NSW,2324
TELARAH,NSW,2320
TELEGRAPH POINT,NSW,2441
TELOPEA,NSW,2117
TEMAGOG,NSW,2440
TEMORA,NSW,2666
TEMPE,NSW,2044
TEN MILE HOLLOW,NSW,2250
TENAMBIT,NSW,2323
TENANDRA,NSW,2824
TENNYSON,NSW,2754
TENNYSON POINT,NSW,2111
TENTERDEN,NSW,2365
TENTERFIELD,NSW,2372
TERALBA,NSW,2284
TERANIA CREEK,NSW,2480
TERARA,NSW,2540
TERIDGERIE,NSW,2829
TERMEIL,NSW,2539
TERRABELLA,NSW,2818
TERRACE CREEK,NSW,2474
TERRAGON,NSW,2484
TERRAMUNGAMINE,NSW,2830
TERRANORA,NSW,2486
TERREEL,NSW,2422
TERREY HILLS,NSW,2084
TERRIGAL,NSW,2260
TERRY HIE HIE,NSW,2400
TEVEN,NSW,2478
TEWINGA,NSW,2449
TEXAS,NSW,4385
THALGARRAH,NSW,2350
THARBOGANG,NSW,2680
THE ANGLE,NSW,2620
THE BIGHT,NSW,2429
THE BRANCH,NSW,2425
THE BROTHERS,NSW,2630
THE CHANNON,NSW,2480
THE DEVILS WILDERNESS,NSW,2758
THE ENTRANCE,NSW,2261
THE ENTRANCE NORTH,NSW,2261
THE FRESHWATER,NSW,2466
THE GAP,NSW,2472
THE GAP,NSW,2650
THE GLEN,NSW,2476
THE GULF,NSW,2365
THE HATCH,NSW,2444
THE HILL,NSW,2300
THE JUNCTION,NSW,2291
THE LAGOON,NSW,2795
THE MARRA,NSW,2831
THE MEADOWS,NSW,2787
THE OAKS,NSW,2570
THE PILLIGA,NSW,2388
THE PINNACLES,NSW,2460
THE POCKET,NSW,2483
THE PONDS,NSW,2769
THE RIDGEWAY,NSW,2620
THE RISK,NSW,2474
THE ROCK,NSW,2655
THE ROCKS,NSW,2795
THE ROCKS,NSW,2000
THE SANDON,NSW,2463
THE SLOPES,NSW,2754
THE WHITEMAN,NSW,2460
THERESA CREEK,NSW,2469
THERESA PARK,NSW,2570
THIRLDENE,NSW,2347
THIRLMERE,NSW,2572
THIRROUL,NSW,2515
THORA,NSW,2454
THORNLEIGH,NSW,2120
THORNTON,NSW,2322
THRUMSTER,NSW,2444
THUDDUNGRA,NSW,2594
THULE,NSW,2732
THUMB CREEK,NSW,2447
THURGOONA,NSW,2640
THYRA,NSW,2731
TIANJARA,NSW,2622
TIBBUC,NSW,2422
TIBOOBURRA,NSW,2880
TICHBORNE,NSW,2870
TICHULAR,NSW,2850
TIGHES HILL,NSW,2297
TILBA TILBA,NSW,2546
TILBUSTER,NSW,2350
TILLIGERRY CREEK,NSW,2319
TILPA,NSW,2840
TIMBARRA,NSW,2372
TIMBILLICA,NSW,2551
TIMBUMBURI,NSW,2340
TIMOR,NSW,2338
TINDAREY,NSW,2835
TINDERRY,NSW,2620
TINGHA,NSW,2369
TINGIRA HEIGHTS,NSW,2290
TINONEE,NSW,2430
TINPOT,NSW,2546
TINTENBAR,NSW,2478
TINTINHULL,NSW,2352
TIONA,NSW,2428
TIPPERARY,NSW,2429
TIRI,NSW,2424
TIRRANNAVILLE,NSW,2580
TITAATEE CREEK,NSW,2422
TOCAL,NSW,2421
TOCUMWAL,NSW,2714
TOLLAND,NSW,2650
TOLWONG,NSW,2622
TOMAGO,NSW,2322
TOMAKIN,NSW,2537
TOMALLA,NSW,2337
TOMBONG,NSW,2633
TOMBOYE,NSW,2622
TOMERONG,NSW,2540
TOMEWIN,NSW,2484
TOMINGLEY,NSW,2869
TOMKI,NSW,2470
TOMS CREEK,NSW,2446
TONDERBURINE,NSW,2817
TONGARRA,NSW,2527
TOOGONG,NSW,2864
TOOLEYBUC,NSW,2736
TOOLIJOOA,NSW,2534
TOOLOOM,NSW,2475
TOOLOON,NSW,2829
TOOMA,NSW,2642
TOONGABBIE,NSW,2146
TOONGI,NSW,2830
TOONUMBAR,NSW,2474
TOORANIE,NSW,2734
TOORAWEENAH,NSW,2817
TOORMINA,NSW,2452
TOOROOKA,NSW,2440
TOOTHDALE,NSW,2550
TOOTOOL,NSW,2655
TOOWOON BAY,NSW,2261
TOPI TOPI,NSW,2423
TORONTO,NSW,2283
TORRINGTON,NSW,2371
TORRYBURN,NSW,2421
TORRYBURN,NSW,2358
TOTNES VALLEY,NSW,2850
TOTTENHAM,NSW,2873
TOUGA,NSW,2622
TOUKLEY,NSW,2263
TOWALLUM,NSW,2460
TOWAMBA,NSW,2550
TOWNSEND,NSW,2463
TOWRADGI,NSW,2518
TOWRANG,NSW,2580
TRALEE,NSW,2620
TRANGIE,NSW,2823
TREGEAGLE,NSW,2480
TREGEAR,NSW,2770
TRENAYR,NSW,2460
TRENTHAM CLIFFS,NSW,2738
TREWILGA,NSW,2869
TRIAMBLE,NSW,2850
TRIANGLE FLAT,NSW,2795
TRUNDLE,NSW,2875
TRUNGLEY HALL,NSW,2666
TRUNKEY CREEK,NSW,2795
TUBBAMURRA,NSW,2365
TUBBUL,NSW,2594
TUCABIA,NSW,2462
TUCKI TUCKI,NSW,2480
TUCKOMBIL,NSW,2477
TUCKURIMBA,NSW,2480
TUENA,NSW,2583
TUGGERAH,NSW,2259
TUGGERAWONG,NSW,2259
TUGRABAKH,NSW,2422
TULLAKOOL,NSW,2732
TULLAMORE,NSW,2874
TULLARWALLA,NSW,2540
TULLERA,NSW,2480
TULLIBIGEAL,NSW,2669
TULLIMBAR,NSW,2527
TULLOONA,NSW,2400
TULLYMORGAN,NSW,2463
TUMBARUMBA,NSW,2653
TUMBI UMBI,NSW,2261
TUMBLONG,NSW,2729
TUMBULGUM,NSW,2490
TUMORRAMA,NSW,2720
TUMUT,NSW,2720
TUMUT PLAINS,NSW,2720
TUNCESTER,NSW,2480
TUNCURRY,NSW,2428
TUNGLEBUNG,NSW,2469
TUNTABLE CREEK,NSW,2480
TUPPAL,NSW,2714
TURA BEACH,NSW,2548
TURILL,NSW,2850
TURLINJAH,NSW,2537
TURNERS FLAT,NSW,2440
TURONDALE,NSW,2795
TUROSS,NSW,2630
TUROSS HEAD,NSW,2537
TURRAMURRA,NSW,2074
TURRAWAN,NSW,2390
TURRELLA,NSW,2205
TURVEY PARK,NSW,2650
TWEED HEADS,NSW,2485
TWEED HEADS SOUTH,NSW,2486
TWEED HEADS WEST,NSW,2485
TWELVE MILE,NSW,2850
TWELVE MILE CREEK,NSW,2324
TWELVE MILE PEG,NSW,2540
TWENTY FORESTS,NSW,2795
TWIN RIVERS,NSW,2410
TWO MILE FLAT,NSW,2852
TYAGARAH,NSW,2481
TYALGUM,NSW,2484
TYALGUM CREEK,NSW,2484
TYGALGAH,NSW,2484
TYNDALE,NSW,2460
TYRINGHAM,NSW,2453
UARBRY,NSW,2329
UKI,NSW,2484
ULAMAMBRI,NSW,2357
ULAN,NSW,2850
ULLADULLA,NSW,2539
ULMARRA,NSW,2462
ULONG,NSW,2450
ULTIMO,NSW,2007
UMINA BEACH,NSW,2257
UNANDERRA,NSW,2526
UNDERBANK,NSW,2420
UNDERCLIFFE,NSW,4380
UNGARIE,NSW,2669
UNUMGAR,NSW,2474
UPPER ALLYN,NSW,2311
UPPER BINGARA,NSW,2404
UPPER BURRINGBAR,NSW,2483
UPPER BYLONG,NSW,2849
UPPER COLO,NSW,2756
UPPER COOPERS CREEK,NSW,2482
UPPER COPMANHURST,NSW,2460
UPPER CORINDI,NSW,2456
UPPER CRYSTAL CREEK,NSW,2484
UPPER DARTBROOK,NSW,2336
UPPER DUCK CREEK,NSW,2469
UPPER DUROBY,NSW,2486
UPPER EDEN CREEK,NSW,2474
UPPER FINE FLOWER,NSW,2460
UPPER GROWEE,NSW,2849
UPPER HORSESHOE CREEK,NSW,2474
UPPER HORTON,NSW,2347
UPPER KANGAROO RIVER,NSW,2577
UPPER KANGAROO VALLEY,NSW,2577
UPPER KARUAH RIVER,NSW,2415
UPPER LANSDOWNE,NSW,2430
UPPER MACDONALD,NSW,2775
UPPER MAIN ARM,NSW,2482
UPPER MANGROVE,NSW,2250
UPPER MANILLA,NSW,2346
UPPER MONGOGARIE,NSW,2470
UPPER MYALL,NSW,2423
UPPER NILE,NSW,2849
UPPER ORARA,NSW,2450
UPPER PAPPINBARRA,NSW,2446
UPPER ROLLANDS PLAINS,NSW,2441
UPPER ROUCHEL,NSW,2336
UPPER TAYLORS ARM,NSW,2447
UPPER TOOLOOM,NSW,2475
UPPER TURON,NSW,2795
UPPER WILSONS CREEK,NSW,2482
UPSALLS CREEK,NSW,2439
URALBA,NSW,2477
URALLA,NSW,2358
URANA,NSW,2645
URANGELINE,NSW,2656
URANGELINE EAST,NSW,2656
URANQUINTY,NSW,2652
URAWILKIE,NSW,2829
URBENVILLE,NSW,2475
URIARRA,NSW,2611
URILA,NSW,2620
URLIUP,NSW,2484
URUNGA,NSW,2455
UTUNGUN,NSW,2447
VACY,NSW,2421
VALE OF CLWYDD,NSW,2790
VALENTINE,NSW,2280
VALERY,NSW,2454
VALLA,NSW,2448
VALLA BEACH,NSW,2448
VALLEY HEIGHTS,NSW,2777
VARROVILLE,NSW,2566
VAUCLUSE,NSW,2030
VERGES CREEK,NSW,2440
VERONA,NSW,2550
VILLAWOOD,NSW,2163
VINCENTIA,NSW,2540
VINEYARD,NSW,2765
VIOLET HILL,NSW,2423
VITTORIA,NSW,2799
VOYAGER POINT,NSW,2172
WADALBA,NSW,2259
WADBILLIGA,NSW,2546
WADEVILLE,NSW,2474
WAGGA WAGGA,NSW,2650
WAGSTAFFE,NSW,2257
WAHROONGA,NSW,2076
WAITARA,NSW,2077
WAITUI,NSW,2443
WAKEFIELD,NSW,2278
WAKELEY,NSW,2176
WAKOOL,NSW,2710
WALANG,NSW,2795
WALBUNDRIE,NSW,2642
WALCHA,NSW,2354
WALCHA ROAD,NSW,2354
WALDEGRAVE,NSW,2800
WALGETT,NSW,2832
WALLA WALLA,NSW,2659
WALLABADAH,NSW,2343
WALLABI POINT,NSW,2430
WALLACETOWN,NSW,2650
WALLACIA,NSW,2745
WALLAGA LAKE,NSW,2546
WALLAGOOT,NSW,2550
WALLALONG,NSW,2320
WALLAMORE,NSW,2340
WALLANBAH,NSW,2422
WALLANGRA,NSW,2360
WALLANTHERY,NSW,2675
WALLARAH,NSW,2259
WALLARINGA,NSW,2420
WALLAROBBA,NSW,2420
WALLAROO,NSW,2618
WALLENDBEEN,NSW,2588
WALLERAWANG,NSW,2845
WALLEROOBIE,NSW,2665
WALLINGAT,NSW,2428
WALLIS LAKE,NSW,2428
WALLSEND,NSW,2287
WALMER,NSW,2820
WAMBAN,NSW,2537
WAMBANGALANG,NSW,2830
WAMBERAL,NSW,2260
WAMBOIN,NSW,2620
WAMBOOL,NSW,2795
WAMBROOK,NSW,2630
WANAARING,NSW,2840
WANDANDIAN,NSW,2540
WANDELLA,NSW,2550
WANDERA,NSW,2360
WANDOOK,NSW,2710
WANDSWORTH,NSW,2365
WANG WAUK,NSW,2423
WANGANELLA,NSW,2710
WANGANUI,NSW,2482
WANGI WANGI,NSW,2267
WANTABADGERY,NSW,2650
WANTAGONG,NSW,2644
WANTIOOL,NSW,2663
WAPENGO,NSW,2550
WARABROOK,NSW,2304
WARATAH,NSW,2298
WARATAH WEST,NSW,2298
WARBURN,NSW,2680
WARDELL,NSW,2477
WARDROP VALLEY,NSW,2484
WARDS MISTAKE,NSW,2350
WARDS RIVER,NSW,2422
WAREEMBA,NSW,2046
WARIALDA,NSW,2402
WARIALDA RAIL,NSW,2402
WARILLA,NSW,2528
WARKWORTH,NSW,2330
WARNERS BAY,NSW,2282
WARNERVALE,NSW,2259
WARRABAH,NSW,2346
WARRADERRY,NSW,2810
WARRAGAI CREEK,NSW,2460
WARRAGAMBA,NSW,2752
WARRAGOON,NSW,2710
WARRAH,NSW,2339
WARRAH CREEK,NSW,2339
WARRAH RIDGE,NSW,2343
WARRAL,NSW,2340
WARRANULLA,NSW,2423
WARRAWEE,NSW,2074
WARRAWIDGEE,NSW,2680
WARRAWONG,NSW,2502
WARRAZAMBIL CREEK,NSW,2474
WARREGAH ISLAND,NSW,2469
WARRELL CREEK,NSW,2447
WARREN,NSW,2824
WARRI,NSW,2622
WARRIEWOOD,NSW,2102
WARRIMOO,NSW,2774
WARROO,NSW,2871
WARRUMBUNGLE,NSW,2828
WARWICK FARM,NSW,2170
WASHPOOL,NSW,2460
WASHPOOL,NSW,2425
WATAGAN,NSW,2325
WATANOBBI,NSW,2259
WATERFALL,NSW,2233
WATERLOO,NSW,2017
WATERSLEIGH,NSW,2540
WATERVIEW,NSW,2460
WATERVIEW HEIGHTS,NSW,2460
WATSONS BAY,NSW,2030
WATSONS CREEK,NSW,2355
WATTAMOLLA,NSW,2535
WATTAMONDARA,NSW,2794
WATTLE FLAT,NSW,2795
WATTLE GROVE,NSW,2173
WATTLE PONDS,NSW,2330
WATTLE RIDGE,NSW,2575
WATTLE SPRINGS,NSW,2357
WATTON,NSW,2795
WAUCHOPE,NSW,2446
WAUGORAH,NSW,2711
WAUKIVORY,NSW,2422
WAVERLEY,NSW,2024
WAVERLY,NSW,2337
WAVERTON,NSW,2060
WAY WAY,NSW,2447
WAYO,NSW,2580
WEABONGA,NSW,2340
WEAN,NSW,2382
WEBBERS CREEK,NSW,2421
WEBBS CREEK,NSW,2775
WEDDERBURN,NSW,2560
WEE JASPER,NSW,2582
WEE WAA,NSW,2388
WEEDALLION,NSW,2594
WEEMELAH,NSW,2406
WEETALIBA,NSW,2395
WEETHALLE,NSW,2669
WEILMORINGLE,NSW,2839
WEISMANTELS,NSW,2415
WELAREGANG,NSW,2642
WELBY,NSW,2575
WELLINGROVE,NSW,2370
WELLINGTON,NSW,2820
WELLINGTON VALE,NSW,2371
WELLS CROSSING,NSW,2460
WENDOREE PARK,NSW,2250
WENTWORTH,NSW,2648
WENTWORTH FALLS,NSW,2782
WENTWORTH POINT,NSW,2127
WENTWORTHVILLE,NSW,2145
WERAI,NSW,2577
WEREBOLDERA,NSW,2720
WERMATONG,NSW,2720
WEROMBI,NSW,2570
WERRI BEACH,NSW,2534
WERRIKIMBE,NSW,2446
WERRINGTON,NSW,2747
WERRINGTON COUNTY,NSW,2747
WERRINGTON DOWNS,NSW,2747
WERRIS CREEK,NSW,2341
WEST ALBURY,NSW,2640
WEST BALLINA,NSW,2478
WEST BATHURST,NSW,2795
WEST BUNGAWALBIN,NSW,2471
WEST CORAKI,NSW,2471
WEST GOSFORD,NSW,2250
WEST HAVEN,NSW,2443
WEST HOXTON,NSW,2171
WEST KEMPSEY,NSW,2440
WEST NOWRA,NSW,2541
WEST PENNANT HILLS,NSW,2125
WEST PYMBLE,NSW,2073
WEST RYDE,NSW,2114
WEST TAMWORTH,NSW,2340
WEST WALLSEND,NSW,2286
WEST WIANGAREE,NSW,2474
WEST WOLLONGONG,NSW,2500
WEST WYALONG,NSW,2671
WESTBROOK,NSW,2330
WESTDALE,NSW,2340
WESTDALE,NSW,2653
WESTLEIGH,NSW,2120
WESTMEAD,NSW,2145
WESTON,NSW,2326
WESTWOOD,NSW,2729
WETHERILL PARK,NSW,2164
WETUPPA,NSW,2734
WHALAN,NSW,2770
WHALE BEACH,NSW,2107
WHEELER HEIGHTS,NSW,2097
WHEENY CREEK,NSW,2758
WHEEO,NSW,2583
WHERROL FLAT,NSW,2429
WHIAN WHIAN,NSW,2480
WHIPORIE,NSW,2469
WHITE CLIFFS,NSW,2836
WHITE ROCK,NSW,2795
WHITEBRIDGE,NSW,2290
WHITEMAN CREEK,NSW,2460
WHITLOW,NSW,2404
WHITTINGHAM,NSW,2330
WHITTON,NSW,2705
WHOOTA,NSW,2428
WIAGDON,NSW,2795
WIANGAREE,NSW,2474
WIARBOROUGH,NSW,2580
WICKHAM,NSW,2293
WIDDEN,NSW,2328
WIDGELLI,NSW,2680
WILBERFORCE,NSW,2756
WILBETREE,NSW,2850
WILCANNIA,NSW,2836
WILD CATTLE CREEK,NSW,2453
WILDES MEADOW,NSW,2577
WILEY PARK,NSW,2195
WILLALA,NSW,2382
WILLAWARRIN,NSW,2440
WILLBRIGGIE,NSW,2680
WILLI WILLI,NSW,2440
WILLIAMSDALE,NSW,2620
WILLIAMTOWN,NSW,2314
WILLIGOBUNG,NSW,2653
WILLINA,NSW,2423
WILLMOT,NSW,2770
WILLOUGHBY,NSW,2068
WILLOUGHBY EAST,NSW,2068
WILLOW TREE,NSW,2339
WILLOW VALE,NSW,2534
WILLOW VALE,NSW,2575
WILLURAH,NSW,2710
WILPINJONG,NSW,2850
WILSONS CREEK,NSW,2482
WILTON,NSW,2571
WIMBLEDON,NSW,2795
WIMBORNE,NSW,2346
WINBURNDALE,NSW,2795
WINDALE,NSW,2306
WINDANG,NSW,2528
WINDELLA,NSW,2320
WINDELLAMA,NSW,2580
WINDERA,NSW,2800
WINDERMERE,NSW,2321
WINDERMERE PARK,NSW,2264
WINDEYER,NSW,2850
WINDOWIE,NSW,2720
WINDRADYNE,NSW,2795
WINDSOR,NSW,2756
WINDSOR DOWNS,NSW,2756
WINDY,NSW,2343
WINEGROVE,NSW,2460
WINGADEE,NSW,2829
WINGELLO,NSW,2579
WINGEN,NSW,2337
WINGHAM,NSW,2429
WINIFRED,NSW,2631
WINMALEE,NSW,2777
WINSTON HILLS,NSW,2153
WINTON,NSW,2344
WIRLINGA,NSW,2640
WIRRABA,NSW,2849
WIRRAGULLA,NSW,2420
WIRRIMAH,NSW,2803
WIRRIMBI,NSW,2447
WIRRINYA,NSW,2871
WISEMANS CREEK,NSW,2795
WISEMANS FERRY,NSW,2775
WITTITRIN,NSW,2440
WOG WOG,NSW,2550
WOG WOG,NSW,2622
WOKO,NSW,2422
WOLGAN VALLEY,NSW,2790
WOLLANGAMBE,NSW,2790
WOLLAR,NSW,2850
WOLLEMI,NSW,2330
WOLLI CREEK,NSW,2205
WOLLOGORANG,NSW,2581
WOLLOMBI,NSW,2325
WOLLOMOMBI,NSW,2350
WOLLONGBAR,NSW,2477
WOLLONGONG,NSW,2500
WOLLSTONECRAFT,NSW,2065
WOLLUMBOOLA,NSW,2540
WOLLUN,NSW,2354
WOLUMLA,NSW,2550
WOMBARRA,NSW,2515
WOMBAT,NSW,2587
WOMBAT CREEK,NSW,2460
WOMBEYAN CAVES,NSW,2580
WOMBOOTA,NSW,2731
WOMERAH,NSW,2756
WONBOYN,NSW,2551
WONBOYN NORTH,NSW,2551
WONDABYNE,NSW,2256
WONDALGA,NSW,2729
WONGARBON,NSW,2831
WONGAWILLI,NSW,2530
WONGO CREEK,NSW,2346
WONGWIBINDA,NSW,2350
WOODBERRY,NSW,2322
WOODBINE,NSW,2560
WOODBURN,NSW,2472
WOODBURN,NSW,2538
WOODCROFT,NSW,2767
WOODENBONG,NSW,2476
WOODFORD,NSW,2778
WOODFORD ISLAND,NSW,2463
WOODHILL,NSW,2535
WOODHOUSELEE,NSW,2580
WOODLANDS,NSW,2536
WOODLANDS,NSW,2575
WOODLAWN,NSW,2480
WOODPARK,NSW,2164
WOODRISING,NSW,2284
WOODSIDE,NSW,2372
WOODSREEF,NSW,2347
WOODSTOCK,NSW,2793
WOODSTOCK,NSW,2360
WOODSTOCK,NSW,2538
WOODVIEW,NSW,2470
WOODVILLE,NSW,2321
WOODY HEAD,NSW,2466
WOOLBROOK,NSW,2354
WOOLGARLO,NSW,2582
WOOLGOOLGA,NSW,2456
WOOLI,NSW,2462
WOOLLAHRA,NSW,2025
WOOLLAMIA,NSW,2540
WOOLLOOMOOLOO,NSW,2011
WOOLNERS ARM,NSW,2470
WOOLOMIN,NSW,2340
WOOLOOMA,NSW,2337
WOOLOOWARE,NSW,2230
WOOLOWEYAH,NSW,2464
WOOLWICH,NSW,2110
WOOMARGAMA,NSW,2644
WOOMBAH,NSW,2469
WOONGARRAH,NSW,2259
WOONONA,NSW,2517
WOOTTON,NSW,2423
WOOYUNG,NSW,2483
WORLDS END,NSW,2850
WORONORA,NSW,2232
WORONORA DAM,NSW,2508
WORONORA HEIGHTS,NSW,2233
WORRIGEE,NSW,2540
WORROWING HEIGHTS,NSW,2540
WOY WOY,NSW,2256
WOY WOY BAY,NSW,2256
WRATHALL,NSW,2642
WRIGHTS BEACH,NSW,2540
WRIGHTS CREEK,NSW,2775
WUULUMAN,NSW,2820
WYALONG,NSW,2671
WYAN,NSW,2469
WYANBENE,NSW,2622
WYANGALA,NSW,2808
WYANGLE,NSW,2720
WYBONG,NSW,2333
WYBUNG,NSW,2259
WYEE,NSW,2259
WYEE POINT,NSW,2259
WYLIE CREEK,NSW,2372
WYLIES FLAT,NSW,2330
WYMAH,NSW,2640
WYNDHAM,NSW,2550
WYNEDEN,NSW,2474
WYOMING,NSW,2250
WYONG,NSW,2259
WYONG CREEK,NSW,2259
WYONGAH,NSW,2259
WYRALLAH,NSW,2480
YABBRA,NSW,2469
YADBORO,NSW,2539
YAGON,NSW,2423
YAGOONA,NSW,2199
YALBRAITH,NSW,2580
YALLAH,NSW,2530
YALLAROI,NSW,2408
YALWAL,NSW,2540
YAMBA,NSW,2464
YAMBULLA,NSW,2550
YANCO,NSW,2703
YANDERRA,NSW,2574
YANGA,NSW,2711
YANKEES CREEK,NSW,2550
YANNERGEE,NSW,2343
YANTABULLA,NSW,2840
YAOUK,NSW,2629
YARARA,NSW,2644
YARRA,NSW,2580
YARRABANDAI,NSW,2875
YARRABIN,NSW,2850
YARRAGAL,NSW,2820
YARRAGRIN,NSW,2842
YARRAGUNDRY,NSW,2650
YARRAHAPINNI,NSW,2441
YARRAMALONG,NSW,2259
